id,login_id,email,pwd,role,profile_img_url,first_name,last_name,nickname,age,birthdate,gender,reg_date,height,weight,goal_type,streak_days,max_streak_days,total_workout_days,total_workout_minutes,total_calories,level,exp,coin,group_id,marketing_agree,active,update_date
1,admin,admin@example.com,admin,ADMIN,https://cdn.example.com/profiles/U0001.png,admin,admin,admin,0,1995-01-03,F,2025-02-23 07:00:00,0,0,1,0,0,0,0,0,0,0,0,,0,1,2025-03-09 07:00:00
2,youngho.han2,youngho.han2@example.com,$2a$10$mockhashedpasswordvalue02,USER,https://cdn.example.com/profiles/U0002.png,Youngho,Han,fitfox2,32,1993-07-31,M,2025-06-24 18:00:00,155.4,88.1,3,5,53,52,1040,17316,12,41664,17335,,1,1,2025-07-28 18:00:00
3,seungmin.lee3,seungmin.lee3@example.com,$2a$10$mockhashedpasswordvalue03,USER,https://cdn.example.com/profiles/U0003.png,Seungmin,Lee,ironheart3,29,1996-07-29,F,2025-07-06 04:00:00,156.7,48.1,2,5,34,148,2960,50912,9,25713,41660,,1,1,2025-07-28 04:00:00
4,jimin.choi4,jimin.choi4@example.com,$2a$10$mockhashedpasswordvalue04,USER,https://cdn.example.com/profiles/U0004.png,Jimin,Choi,gainseeker4,21,2004-03-29,F,2025-10-02 09:00:00,158.6,65.8,3,44,79,327,6540,163500,11,48972,3665,,1,1,2025-10-27 09:00:00
5,hyunseo.jung5,hyunseo.jung5@example.com,$2a$10$mockhashedpasswordvalue05,USER,https://cdn.example.com/profiles/U0005.png,Hyunseo,Jung,gainseeker5,28,1997-01-21,F,2025-09-13 22:00:00,181.0,73.9,2,8,39,135,5400,58995,18,37368,48956,,0,1,2025-10-06 22:00:00
6,seojin.choi6,seojin.choi6@example.com,$2a$10$mockhashedpasswordvalue06,USER,https://cdn.example.com/profiles/U0006.png,Seojin,Choi,stretchy6,33,1992-01-15,M,2025-02-26 14:00:00,172.0,80.6,4,4,53,305,9150,138775,15,47505,16476,,1,1,2025-04-10 14:00:00
7,jimin.shin7,jimin.shin7@example.com,$2a$10$mockhashedpasswordvalue07,USER,https://cdn.example.com/profiles/U0007.png,Jimin,Shin,runbunny7,29,1996-08-01,M,2025-03-23 00:00:00,150.1,77.5,3,48,59,256,10240,52224,10,44470,41874,,1,1,2025-04-01 00:00:00
8,yuna.kang8,yuna.kang8@example.com,$2a$10$mockhashedpasswordvalue08,USER,https://cdn.example.com/profiles/U0008.png,Yuna,Kang,ironheart8,35,1990-01-05,F,2025-06-16 01:00:00,150.7,86.8,5,3,33,122,4880,23180,3,11991,31849,,1,1,2025-06-24 01:00:00
9,jaehee.han9,jaehee.han9@example.com,$2a$10$mockhashedpasswordvalue09,USER,https://cdn.example.com/profiles/U0009.png,Jaehee,Han,corequeen9,24,2001-11-01,F,2025-08-05 16:00:00,182.5,79.0,2,19,70,365,14600,175930,12,33528,33919,,1,1,2025-08-19 16:00:00
10,taemin.lee10,taemin.lee10@example.com,$2a$10$mockhashedpasswordvalue10,USER,https://cdn.example.com/profiles/U0010.png,Taemin,Lee,gainseeker10,23,2002-06-04,F,2025-10-29 17:00:00,150.3,76.9,1,4,8,117,3510,21762,17,33558,18250,,0,1,2025-12-02 17:00:00
11,youngho.park11,youngho.park11@example.com,$2a$10$mockhashedpasswordvalue11,USER,https://cdn.example.com/profiles/U0011.png,Youngho,Park,stretchy11,30,1995-06-14,M,2025-07-28 16:00:00,153.3,74.7,3,26,85,216,8640,38232,4,4992,26386,,0,1,2025-08-12 16:00:00
12,hana.choi12,hana.choi12@example.com,$2a$10$mockhashedpasswordvalue12,USER,https://cdn.example.com/profiles/U0012.png,Hana,Choi,stretchy12,32,1993-02-22,M,2025-04-04 18:00:00,166.2,84.4,5,51,86,226,4520,39550,18,79632,967,,1,1,2025-04-30 18:00:00
